Date,Close
6/1/2021 16:00,172.34
6/2/2021 16:00,176.63
6/3/2021 16:00,179.67
6/4/2021 16:00,182.41
6/7/2021 16:00,180.8
6/8/2021 16:00,179.61
6/9/2021 16:00,180.54
6/10/2021 16:00,180.18
6/11/2021 16:00,181.47
6/14/2021 16:00,180.59
6/15/2021 16:00,182.45
6/16/2021 16:00,183.84
6/17/2021 16:00,185.2
6/18/2021 16:00,177.03
6/21/2021 16:00,178.88
6/22/2021 16:00,179.39
6/23/2021 16:00,177.71
6/24/2021 16:00,177.67
6/25/2021 16:00,178.1
6/28/2021 16:00,177.07
6/29/2021 16:00,176.73
6/30/2021 16:00,174.84
7/1/2021 16:00,175.48
7/2/2021 16:00,176.03
7/6/2021 16:00,174.93
7/7/2021 16:00,175.65
7/8/2021 16:00,174.23
7/9/2021 16:00,177.79
7/12/2021 16:00,178.9
7/13/2021 16:00,179.18
7/14/2021 16:00,180
7/15/2021 16:00,178.93
7/16/2021 16:00,178.13
7/19/2021 16:00,176.3
7/20/2021 16:00,178.12
7/21/2021 16:00,179.68
7/22/2021 16:00,177.99
7/23/2021 16:00,179.85
7/26/2021 16:00,179.5
7/27/2021 16:00,178.44
7/28/2021 16:00,179.87
7/29/2021 16:00,181.42
7/30/2021 16:00,179.84
8/2/2021 16:00,181.88
8/3/2021 16:00,185.95
8/4/2021 16:00,182.18
8/5/2021 16:00,182.86
8/6/2021 16:00,180.72
8/9/2021 16:00,180.57
8/10/2021 16:00,179.9
8/11/2021 16:00,181.38
8/12/2021 16:00,180.94
8/13/2021 16:00,181.34
8/16/2021 16:00,180.6
8/17/2021 16:00,178.17
8/18/2021 16:00,175.73
8/19/2021 16:00,168.55
8/20/2021 16:00,164.66
8/23/2021 16:00,168.74
8/24/2021 16:00,171.02
8/25/2021 16:00,173.75
8/26/2021 16:00,171.59
8/27/2021 16:00,173.88
8/30/2021 16:00,172.86
8/31/2021 16:00,174.23
9/1/2021 16:00,176.21
9/2/2021 16:00,176.24
9/3/2021 16:00,179.27
9/7/2021 16:00,181.64
9/8/2021 16:00,180
9/9/2021 16:00,180.07
9/10/2021 16:00,176.3
9/13/2021 16:00,178.46
9/14/2021 16:00,179.39
9/15/2021 16:00,181.71
9/16/2021 16:00,181.94
9/17/2021 16:00,180.95
9/20/2021 16:00,176.71
9/21/2021 16:00,181.9
9/22/2021 16:00,181.59
9/23/2021 16:00,182.79
9/24/2021 16:00,182.57
9/27/2021 16:00,186.52
9/28/2021 16:00,184.85
9/29/2021 16:00,185.45
9/30/2021 16:00,177.75
10/1/2021 16:00,177.62
10/4/2021 16:00,171.81
10/5/2021 16:00,172.14
10/6/2021 16:00,166.97
10/7/2021 16:00,169.47
10/8/2021 16:00,171.97
10/11/2021 16:00,175.15
10/12/2021 16:00,177.13
10/13/2021 16:00,175.77
10/14/2021 16:00,175.51
10/15/2021 16:00,176.27
10/18/2021 16:00,178.55
10/19/2021 16:00,178.67
10/20/2021 16:00,177.75
10/21/2021 16:00,174.02
10/22/2021 16:00,173.4
10/25/2021 16:00,172.23
10/26/2021 16:00,173.2
10/27/2021 16:00,174.09
10/28/2021 16:00,176.48
10/29/2021 16:00,176.57
11/1/2021 16:00,179.98
11/2/2021 16:00,179.61
11/3/2021 16:00,181.07
11/4/2021 16:00,181.48
11/5/2021 16:00,179.28
11/8/2021 16:00,180.48
11/9/2021 16:00,176.32
11/10/2021 16:00,177.36
11/11/2021 16:00,179.03
11/12/2021 16:00,184.4
11/15/2021 16:00,184.39
11/16/2021 16:00,187.43
11/17/2021 16:00,186.21
11/18/2021 16:00,184.65
11/19/2021 16:00,185.96
11/22/2021 16:00,185.09
11/23/2021 16:00,185.06
11/24/2021 16:00,184.81
11/26/2021 13:00,179.83
11/29/2021 16:00,177.47
11/30/2021 16:00,177.85
12/1/2021 16:00,178.29
12/2/2021 16:00,183.16
12/3/2021 16:00,182.46
12/6/2021 16:00,184.59
12/7/2021 16:00,187.44
12/8/2021 16:00,182.48
12/9/2021 16:00,180.77
12/10/2021 16:00,182.35
12/13/2021 16:00,176.12
12/14/2021 16:00,180.78
12/15/2021 16:00,186.75
12/16/2021 16:00,187.34
12/17/2021 16:00,184.04
12/20/2021 16:00,181.95
12/21/2021 16:00,182.82
12/22/2021 16:00,181.36
12/23/2021 16:00,183.78
12/27/2021 16:00,185.9
12/28/2021 16:00,184.75
12/29/2021 16:00,183.68
12/30/2021 16:00,184.08
12/31/2021 16:00,185.3
